code,name,market,close,chg,volume,value,mcap
005930,삼성전자,KOSPI,286500.0,3.62,19385053.0,5553817684500.0,1674958800000000.0
000660,SK하이닉스,KOSPI,1863000.0,1.25,2886116.0,5376834108000.0,1360907300000000.0
005935,삼성전자우,KOSPI,222000.0,4.96,5763244.0,1279440168000.0,178126400000000.0
402340,SK스퀘어,KOSPI,1181000.0,4.24,640292.0,756184852000.0,155802200000000.0
009150,삼성전기,KOSPI,1501000.0,1.01,496091.0,744632591000.0,112115200000000.0
373220,LG에너지솔루션,KOSPI,352000.0,0.43,222728.0,78400256000.0,82368000000000.0
005380,현대차,KOSPI,357000.0,-0.97,550575.0,196555275000.0,72637500000000.0
207940,삼성바이오로직스,KOSPI,1373000.0,-1.29,37490.0,51473770000.0,63557500000000.0
105560,KB금융,KOSPI,174100.0,-0.91,679189.0,118246804900.0,61751100000000.0
028260,삼성물산,KOSPI,368500.0,0.41,275715.0,101600977500.0,59758800000000.0
032830,삼성생명,KOSPI,295000.0,1.37,223073.0,65806535000.0,59000000000000.0
012450,한화에어로스페이스,KOSPI,1031000.0,-2.46,129794.0,133817614000.0,53161900000000.0
034020,두산에너빌리티,KOSPI,82700.0,-4.39,4585876.0,379251945200.0,52974400000000.0
055550,신한지주,KOSPI,110100.0,-2.74,895919.0,98640681900.0,51686500000000.0
329180,HD현대중공업,KOSPI,444000.0,-2.52,190465.0,84566460000.0,46602800000000.0
000270,기아,KOSPI,116200.0,-1.94,798446.0,92779425200.0,45366000000000.0
034730,SK,KOSPI,607000.0,3.23,129962.0,78886934000.0,44009100000000.0
006400,삼성SDI,KOSPI,521000.0,-1.51,376430.0,196120030000.0,41985100000000.0
068270,셀트리온,KOSPI,178100.0,-0.22,294934.0,52527745400.0,41429100000000.0
086790,하나금융지주,KOSPI,133700.0,-1.69,633745.0,84731706500.0,36228700000000.0
066570,LG전자,KOSPI,210500.0,-2.77,544074.0,114527577000.0,34287200000000.0
012330,현대모비스,KOSPI,369000.0,-0.94,187168.0,69064992000.0,33143800000000.0
010120,LS ELECTRIC,KOSPI,207000.0,-2.36,332290.0,68784030000.0,31050000000000.0
035420,NAVER,KOSPI,196000.0,-2.49,1148820.0,225168720000.0,29810500000000.0
000810,삼성화재,KOSPI,648000.0,-1.07,60134.0,38966832000.0,28931600000000.0
298040,효성중공업,KOSPI,2892000.0,-0.31,27462.0,79420104000.0,26966600000000.0
316140,우리금융지주,KOSPI,35500.0,-0.7,1398444.0,49644762000.0,26155900000000.0
267260,HD현대일렉트릭,KOSPI,713000.0,-0.14,70829.0,50501077000.0,25701600000000.0
096770,SK이노베이션,KOSPI,148700.0,5.46,999300.0,148595910000.0,25138100000000.0
042660,한화오션,KOSPI,80700.0,-1.1,887793.0,71644895100.0,24727600000000.0
005490,POSCO홀딩스,KOSPI,311500.0,-1.89,194134.0,60472741000.0,24683700000000.0
000150,두산,KOSPI,1515000.0,2.85,79240.0,120048600000.0,24533700000000.0
009540,HD한국조선해양,KOSPI,335000.0,-1.33,112468.0,37676780000.0,23709000000000.0
010130,고려아연,KOSPI,1116000.0,0.54,8388.0,9361008000.0,23294200000000.0
042700,한미반도체,KOSPI,243000.0,1.25,369301.0,89740143000.0,23160900000000.0
138040,메리츠금융지주,KOSPI,125500.0,-2.64,148894.0,18686197000.0,21002100000000.0
011200,HMM,KOSPI,20850.0,-1.65,562695.0,11732190750.0,19666500000000.0
015760,한국전력,KOSPI,30450.0,-1.3,1512317.0,46050052650.0,19547800000000.0
017670,SK텔레콤,KOSPI,87000.0,-0.34,567429.0,49366323000.0,18686700000000.0
033780,KT&G,KOSPI,174500.0,-1.58,266604.0,46522398000.0,18114900000000.0
010140,삼성중공업,KOSPI,20450.0,-0.73,2284205.0,46711992250.0,17996000000000.0
051910,LG화학,KOSPI,253000.0,-0.39,142057.0,35940421000.0,17859900000000.0
010950,S-Oil,KOSPI,156500.0,1.43,376025.0,58847912500.0,17619200000000.0
006800,미래에셋증권,KOSPI,32350.0,-1.52,806683.0,26096195050.0,17566700000000.0
003550,LG,KOSPI,113400.0,-2.66,141632.0,16061068800.0,17145200000000.0
018260,삼성에스디에스,KOSPI,221000.0,-2.21,94796.0,20949916000.0,17100500000000.0
267250,HD현대,KOSPI,207000.0,0.0,153547.0,31784229000.0,16351600000000.0
024110,기업은행,KOSPI,20450.0,2.25,1485880.0,30386246000.0,16307400000000.0
003670,포스코퓨처엠,KOSPI,180600.0,-1.95,555377.0,100301086200.0,16063700000000.0
079550,LIG디펜스앤에어로스페이스,KOSPI,699000.0,-0.71,65278.0,45629322000.0,15378000000000.0
035720,카카오,KOSPI,33800.0,-1.02,1380964.0,46676583200.0,14973400000000.0
086280,현대글로비스,KOSPI,198000.0,-2.46,218216.0,43206768000.0,14850000000000.0
272210,한화시스템,KOSPI,74400.0,-3.88,954059.0,70981989600.0,14055600000000.0
278470,에이피알,KOSPI,369000.0,2.07,186907.0,68968683000.0,13814700000000.0
000720,현대건설,KOSPI,122300.0,-6.85,1201523.0,146946262900.0,13618800000000.0
030200,KT,KOSPI,52900.0,-0.38,178932.0,9465502800.0,13331900000000.0
064350,현대로템,KOSPI,116700.0,-0.34,219444.0,25609114800.0,12736900000000.0
011070,LG이노텍,KOSPI,536000.0,-1.11,111212.0,59609632000.0,12685600000000.0
047810,한국항공우주,KOSPI,128400.0,-1.46,187480.0,24072432000.0,12515800000000.0
005830,DB손해보험,KOSPI,184000.0,-1.02,164514.0,30270576000.0,12052100000000.0
003490,대한항공,KOSPI,31500.0,0.32,4154511.0,130867096500.0,11598900000000.0
443060,HD현대마린솔루션,KOSPI,240000.0,-1.23,50951.0,12228240000.0,10760000000000.0
307950,현대오토에버,KOSPI,380500.0,-1.17,40369.0,15360404500.0,10434800000000.0
071050,한국금융지주,KOSPI,186600.0,0.16,163219.0,30456665400.0,10398500000000.0
078930,GS,KOSPI,110600.0,0.0,342032.0,37828739200.0,10274200000000.0
006260,LS,KOSPI,322500.0,-1.23,71796.0,23154210000.0,10062000000000.0
047050,포스코인터내셔널,KOSPI,55500.0,-2.12,376658.0,20904519000.0,9763700000000.0
028050,삼성E&A,KOSPI,49600.0,-3.12,2237039.0,110957134400.0,9721600000000.0
005940,NH투자증권,KOSPI,26100.0,0.0,390698.0,10197217800.0,9636300000000.0
323410,카카오뱅크,KOSPI,20000.0,-0.99,976444.0,19528880000.0,9542400000000.0
000500,가온전선,KOSPI,318000.0,-1.09,153677.0,48869286000.0,9469300000000.0
180640,한진칼,KOSPI,140500.0,-2.09,70054.0,9842587000.0,9380100000000.0
003230,삼양식품,KOSPI,1218000.0,-2.72,57242.0,69720756000.0,9175200000000.0
259960,크래프톤,KOSPI,198500.0,-1.73,54382.0,10794827000.0,9114400000000.0
007660,이수페타시스,KOSPI,119200.0,5.58,929301.0,110772679200.0,8750400000000.0
090430,아모레퍼시픽,KOSPI,142200.0,0.14,145314.0,20663650800.0,8317700000000.0
0126Z0,삼성에피스홀딩스,KOSPI,331000.0,-0.15,23658.0,7830798000.0,8236300000000.0
016360,삼성증권,KOSPI,91300.0,0.66,452414.0,41305398200.0,8153100000000.0
047040,대우건설,KOSPI,17700.0,-5.85,10155479.0,179751978300.0,7273100000000.0
161390,한국타이어앤테크놀로지,KOSPI,57300.0,-0.35,253935.0,14550475500.0,7098000000000.0
021240,코웨이,KOSPI,99700.0,-0.1,136952.0,13654114400.0,7055500000000.0
039490,키움증권,KOSPI,265000.0,1.15,54264.0,14379960000.0,6950500000000.0
000880,한화,KOSPI,130100.0,-1.66,61735.0,8031723500.0,6938100000000.0
352820,하이브,KOSPI,157700.0,0.9,242214.0,38197147800.0,6797900000000.0
064400,LG씨엔에스,KOSPI,70000.0,-2.23,532500.0,37275000000.0,6782000000000.0
128940,한미약품,KOSPI,519000.0,3.39,126975.0,65900025000.0,6648900000000.0
009830,한화솔루션,KOSPI,29400.0,7.1,3892862.0,114450142800.0,6611800000000.0
062040,산일전기,KOSPI,205000.0,0.0,124718.0,25567190000.0,6281800000000.0
267270,HD건설기계,KOSPI,130900.0,-4.8,420043.0,54983628700.0,6217400000000.0
032640,LG유플러스,KOSPI,14630.0,0.41,820348.0,12001691240.0,6209400000000.0
196170,알테오젠,KOSDAQ,251500.0,0.8,222524.0,55964786000.0,17518300000000.0
086520,에코프로,KOSDAQ,80100.0,0.0,336246.0,26933304600.0,10875700000000.0
247540,에코프로비엠,KOSDAQ,105500.0,1.15,293226.0,30935343000.0,10321100000000.0
036930,주성엔지니어링,KOSDAQ,209500.0,2.95,873557.0,183010191500.0,9737800000000.0
277810,레인보우로보틱스,KOSDAQ,435500.0,-0.57,44933.0,19568321500.0,8448600000000.0
240810,원익IPS,KOSDAQ,132400.0,1.61,2584001.0,342121732400.0,6498700000000.0
039030,이오테크닉스,KOSDAQ,479500.0,1.27,71864.0,34458788000.0,5907200000000.0
222800,심텍,KOSDAQ,149400.0,0.88,584741.0,87360305400.0,5749600000000.0
058470,리노공업,KOSDAQ,74600.0,-0.53,1493192.0,111392123200.0,5685400000000.0
403870,HPSP,KOSDAQ,55600.0,2.39,1378599.0,76650104400.0,4575900000000.0
095340,ISC,KOSDAQ,212500.0,2.16,117738.0,25019325000.0,4504400000000.0
108490,로보티즈,KOSDAQ,301500.0,0.5,212086.0,63943929000.0,4422100000000.0
319660,피에스케이,KOSDAQ,144200.0,10.16,561095.0,80909899000.0,4177000000000.0
028300,HLB,KOSDAQ,31050.0,0.0,709670.0,22035253500.0,4135800000000.0
440110,파두,KOSDAQ,81400.0,12.59,1278892.0,104101808800.0,4079000000000.0
000250,삼천당제약,KOSDAQ,166600.0,2.46,62923.0,10482971800.0,3908000000000.0
084370,유진테크,KOSDAQ,161800.0,8.3,270216.0,43720948800.0,3707800000000.0
031980,피에스케이홀딩스,KOSDAQ,163200.0,3.16,98410.0,16060512000.0,3519000000000.0
087010,펩트론,KOSDAQ,145200.0,2.25,90241.0,13102993200.0,3385700000000.0
214450,파마리서치,KOSDAQ,323500.0,-0.15,48735.0,15765772500.0,3361100000000.0
131290,티에스이,KOSDAQ,289000.0,2.85,72302.0,20895278000.0,3196800000000.0
064760,티씨케이,KOSDAQ,283000.0,3.85,48692.0,13779836000.0,3163800000000.0
095610,테스,KOSDAQ,161900.0,8.95,358301.0,58008931900.0,3134400000000.0
067310,하나마이크론,KOSDAQ,46200.0,1.2,1706121.0,78822790200.0,3071900000000.0
141080,리가켐바이오,KOSDAQ,80700.0,0.62,125049.0,10091454300.0,2987500000000.0
357780,솔브레인,KOSDAQ,368000.0,9.2,58240.0,21432320000.0,2862500000000.0
298380,에이비엘바이오,KOSDAQ,50700.0,-0.78,482461.0,24460772700.0,2838600000000.0
010170,대한광통신,KOSDAQ,17720.0,-0.51,8890968.0,157547952960.0,2755200000000.0
310210,보로노이,KOSDAQ,145700.0,-0.68,40600.0,5915420000.0,2700700000000.0
080220,제주반도체,KOSDAQ,78000.0,3.17,901381.0,70307718000.0,2686500000000.0
257720,실리콘투,KOSDAQ,38900.0,-2.26,625198.0,24320202200.0,2550900000000.0
140410,메지온,KOSDAQ,82200.0,4.31,132585.0,10898487000.0,2517100000000.0
005290,동진쎄미켐,KOSDAQ,46850.0,9.08,983950.0,46098057500.0,2388000000000.0
319400,현대무벡스,KOSDAQ,21100.0,-1.17,734581.0,15499659100.0,2350000000000.0
145020,휴젤,KOSDAQ,186800.0,-1.89,42222.0,7887069600.0,2337800000000.0
226950,올릭스,KOSDAQ,102300.0,0.1,122154.0,12496354200.0,2327400000000.0
032820,우리기술,KOSDAQ,12980.0,-3.28,2958227.0,38397786460.0,2242700000000.0
058610,에스피지,KOSDAQ,100900.0,2.13,359173.0,36240555700.0,2237700000000.0
030530,원익홀딩스,KOSDAQ,28000.0,5.66,6640185.0,185925180000.0,2162700000000.0
214370,케어젠,KOSDAQ,40050.0,1.78,56205.0,2251010250.0,2151300000000.0
263750,펄어비스,KOSDAQ,33700.0,-1.32,125162.0,4217959400.0,2117800000000.0
347850,디앤디파마텍,KOSDAQ,44650.0,4.32,504491.0,22525523150.0,2053700000000.0
178320,서진시스템,KOSDAQ,32050.0,1.75,617764.0,19799336200.0,2042300000000.0
043260,성호전자,KOSDAQ,26750.0,-0.74,2792564.0,74701087000.0,2018300000000.0
214150,클래시스,KOSDAQ,30750.0,0.65,63449.0,1951056750.0,2006000000000.0
098460,고영,KOSDAQ,29150.0,0.87,725651.0,21152726650.0,1988200000000.0
041510,에스엠,KOSDAQ,82800.0,1.47,100390.0,8312292000.0,1895700000000.0
237690,에스티팜,KOSDAQ,90800.0,0.22,48558.0,4409066400.0,1895600000000.0
083650,비에이치아이,KOSDAQ,60500.0,-5.91,569185.0,34435692500.0,1872100000000.0
140860,파크시스템스,KOSDAQ,265000.0,5.37,51257.0,13583105000.0,1855700000000.0
089030,테크윙,KOSDAQ,49150.0,3.26,839576.0,41265160400.0,1821200000000.0
131970,두산테스나,KOSDAQ,94200.0,0.86,200835.0,18918657000.0,1820600000000.0
060370,LS마린솔루션,KOSDAQ,33500.0,1.06,165986.0,5560531000.0,1750000000000.0
036540,SFA반도체,KOSDAQ,10570.0,-0.47,6183347.0,65357977790.0,1738300000000.0
068760,셀트리온제약,KOSDAQ,39100.0,0.77,34703.0,1356887300.0,1736100000000.0
