date,open,high,low,close,volume
2024-09-11,5666.66650390625,5766.66650390625,5546.66650390625,5666.66650390625,60447.0
2024-09-12,5666.66650390625,5900.0,5666.66650390625,5900.0,35734.0
2024-09-13,5900.0,6060.0,5853.33349609375,6000.0,60186.0
2024-09-19,6006.66650390625,6020.0,5826.66650390625,5880.0,29952.0
2024-09-20,5880.0,6000.0,5706.66650390625,5746.66650390625,21339.0
2024-09-23,5726.66650390625,5900.0,5640.0,5886.66650390625,27343.0
2024-09-24,5873.33349609375,5980.0,5866.66650390625,5940.0,33084.0
2024-09-25,5940.0,6060.0,5813.33349609375,5866.66650390625,26899.0
2024-09-26,5860.0,5993.33349609375,5853.33349609375,5966.66650390625,20185.0
2024-09-27,5940.0,6026.66650390625,5906.66650390625,5946.66650390625,24364.0
2024-09-30,5946.66650390625,6006.66650390625,5720.0,5960.0,32917.0
2024-10-02,5846.66650390625,6000.0,5793.33349609375,5860.0,16026.0
2024-10-04,5933.33349609375,5933.33349609375,5740.0,5840.0,16407.0
2024-10-07,5946.66650390625,6153.33349609375,5900.0,6080.0,55525.0
2024-10-08,6066.66650390625,6180.0,6020.0,6126.66650390625,20493.0
2024-10-10,6126.66650390625,6200.0,5980.0,6020.0,32484.0
2024-10-11,6100.0,6100.0,5966.66650390625,6026.66650390625,11367.0
2024-10-14,6000.0,6020.0,5933.33349609375,6000.0,13276.0
2024-10-15,6000.0,6300.0,5933.33349609375,6066.66650390625,73335.0
2024-10-16,6020.0,6126.66650390625,5900.0,6086.66650390625,18757.0
2024-10-17,6040.0,6080.0,5873.33349609375,5980.0,53248.0
2024-10-18,5980.0,5980.0,5593.33349609375,5840.0,47703.0
2024-10-21,5840.0,5846.66650390625,5720.0,5786.66650390625,13344.0
2024-10-22,5726.66650390625,5786.66650390625,5613.33349609375,5746.66650390625,16596.0
2024-10-23,5746.66650390625,5906.66650390625,5673.33349609375,5693.33349609375,20512.0
2024-10-24,5900.0,5900.0,5566.66650390625,5793.33349609375,6838.0
2024-10-25,5793.33349609375,5853.33349609375,5600.0,5660.0,19879.0
2024-10-28,5606.66650390625,5766.66650390625,5506.66650390625,5660.0,10422.0
2024-10-29,5606.66650390625,5660.0,5566.66650390625,5620.0,10048.0
2024-10-30,5620.0,5753.33349609375,5546.66650390625,5693.33349609375,10158.0
2024-10-31,5713.33349609375,5726.66650390625,5566.66650390625,5680.0,11665.0
2024-11-01,5546.66650390625,5726.66650390625,5546.66650390625,5693.33349609375,7830.0
2024-11-04,5653.33349609375,5766.66650390625,5546.66650390625,5753.33349609375,13758.0
2024-11-05,5753.33349609375,5800.0,5633.33349609375,5660.0,9136.0
2024-11-06,5666.66650390625,6013.33349609375,5626.66650390625,5666.66650390625,21133.0
2024-11-07,5653.33349609375,5726.66650390625,5600.0,5680.0,26845.0
2024-11-08,5680.0,5813.33349609375,5613.33349609375,5640.0,18051.0
2024-11-11,5640.0,5686.66650390625,5446.66650390625,5460.0,19011.0
2024-11-12,5393.33349609375,5420.0,5000.0,5040.0,76839.0
2024-11-13,5133.33349609375,5133.33349609375,4666.66650390625,4666.66650390625,69048.0
2024-11-14,4626.66650390625,4933.33349609375,4626.66650390625,4653.33349609375,49435.0
2024-11-15,4653.33349609375,4873.33349609375,4593.33349609375,4780.0,48838.0
2024-11-18,4780.0,5033.33349609375,4686.66650390625,5013.33349609375,36046.0
2024-11-19,5006.66650390625,5073.33349609375,4800.0,5013.33349609375,53607.0
2024-11-20,5013.33349609375,5093.33349609375,4913.33349609375,4973.33349609375,20530.0
2024-11-21,4880.0,5046.66650390625,4880.0,4953.33349609375,34776.0
2024-11-22,5053.33349609375,5133.33349609375,4906.66650390625,4973.33349609375,22426.0
2024-11-25,5120.0,5133.33349609375,4973.33349609375,5133.33349609375,52839.0
2024-11-26,5040.0,5160.0,5040.0,5126.66650390625,12372.0
2024-11-27,5126.66650390625,5186.66650390625,4986.66650390625,5000.0,29043.0
2024-11-28,5000.0,5133.33349609375,4960.0,5046.66650390625,8623.0
2024-11-29,5040.0,5080.0,4906.66650390625,5006.66650390625,14425.0
2024-12-02,4946.66650390625,5193.33349609375,4940.0,4940.0,15877.0
2024-12-03,4980.0,5026.66650390625,4880.0,4933.33349609375,25141.0
2024-12-04,4793.33349609375,5000.0,4773.33349609375,4826.66650390625,27745.0
2024-12-05,4820.0,5033.33349609375,4800.0,4880.0,43804.0
2024-12-06,4840.0,5000.0,4640.0,4873.33349609375,69102.0
2024-12-09,4866.66650390625,4866.66650390625,4386.66650390625,4386.66650390625,97081.0
2024-12-10,4433.33349609375,4793.33349609375,4433.33349609375,4773.33349609375,50937.0
2024-12-11,4773.33349609375,4940.0,4666.66650390625,4900.0,93648.0
2024-12-12,4960.0,4960.0,4766.66650390625,4766.66650390625,23274.0
