date,open,high,low,close,volume
2024-09-11,2425.0,2480.0,2390.0,2390.0,99307.0
2024-09-12,2410.0,2485.0,2410.0,2445.0,151476.0
2024-09-13,2445.0,2455.0,2425.0,2440.0,69325.0
2024-09-19,2440.0,2475.0,2350.0,2390.0,130762.0
2024-09-20,2410.0,2450.0,2380.0,2380.0,253499.0
2024-09-23,2390.0,2450.0,2375.0,2430.0,83880.0
2024-09-24,2420.0,2460.0,2420.0,2460.0,55525.0
2024-09-25,2465.0,2515.0,2455.0,2465.0,102468.0
2024-09-26,2500.0,2560.0,2500.0,2560.0,169711.0
2024-09-27,2540.0,2590.0,2535.0,2550.0,96251.0
2024-09-30,2535.0,2545.0,2505.0,2505.0,79155.0
2024-10-02,2480.0,2505.0,2450.0,2475.0,92540.0
2024-10-04,2475.0,2480.0,2440.0,2455.0,44948.0
2024-10-07,2435.0,2500.0,2420.0,2490.0,60815.0
2024-10-08,2490.0,2500.0,2450.0,2450.0,52515.0
2024-10-10,2465.0,2465.0,2400.0,2410.0,72282.0
2024-10-11,2395.0,2450.0,2395.0,2435.0,61162.0
2024-10-14,2435.0,2485.0,2435.0,2485.0,48597.0
2024-10-15,2485.0,2495.0,2440.0,2450.0,36442.0
2024-10-16,2440.0,2445.0,2370.0,2400.0,76961.0
2024-10-17,2395.0,2400.0,2365.0,2385.0,79140.0
2024-10-18,2385.0,2405.0,2325.0,2335.0,105865.0
2024-10-21,2320.0,2360.0,2320.0,2335.0,65188.0
2024-10-22,2305.0,2330.0,2255.0,2260.0,118294.0
2024-10-23,2255.0,2345.0,2240.0,2330.0,121943.0
2024-10-24,2320.0,2335.0,2270.0,2275.0,47294.0
2024-10-25,2290.0,2290.0,2215.0,2225.0,147057.0
2024-10-28,2205.0,2270.0,2200.0,2245.0,98567.0
2024-10-29,2250.0,2270.0,2210.0,2245.0,85450.0
2024-10-30,2250.0,2275.0,2215.0,2225.0,70067.0
2024-10-31,2225.0,2270.0,2165.0,2230.0,154809.0
2024-11-01,2230.0,2895.0,2220.0,2895.0,6573523.0
2024-11-04,3060.0,3355.0,2775.0,3195.0,54503408.0
2024-11-05,3175.0,3265.0,3035.0,3105.0,6608715.0
2024-11-06,3305.0,3515.0,2980.0,3030.0,20166017.0
2024-11-07,3115.0,3410.0,3030.0,3030.0,12262888.0
2024-11-08,3235.0,3325.0,3100.0,3115.0,2771158.0
2024-11-11,3060.0,3075.0,2750.0,2795.0,2569486.0
2024-11-12,2795.0,2820.0,2630.0,2640.0,1516260.0
2024-11-13,2615.0,2665.0,2395.0,2405.0,1683524.0
2024-11-14,2400.0,2440.0,2265.0,2290.0,1412942.0
2024-11-15,2295.0,2945.0,2295.0,2605.0,20871448.0
2024-11-18,2610.0,2690.0,2545.0,2615.0,1938291.0
2024-11-19,2605.0,2755.0,2545.0,2610.0,2584887.0
2024-11-20,2590.0,2690.0,2485.0,2690.0,1335189.0
2024-11-21,2655.0,3495.0,2570.0,2870.0,29048323.0
2024-11-22,2875.0,3045.0,2740.0,2785.0,4551621.0
2024-11-25,2785.0,2845.0,2750.0,2780.0,1791491.0
2024-11-26,2815.0,2895.0,2765.0,2895.0,3322744.0
2024-11-27,2900.0,2905.0,2660.0,2660.0,2405230.0
2024-11-28,2620.0,2650.0,2560.0,2570.0,1009862.0
2024-11-29,2570.0,2570.0,2425.0,2450.0,1198628.0
2024-12-02,2450.0,2660.0,2435.0,2515.0,3349425.0
2024-12-03,2460.0,2785.0,2455.0,2560.0,4045159.0
2024-12-04,2475.0,2550.0,2405.0,2525.0,1090973.0
2024-12-05,2555.0,2555.0,2380.0,2385.0,796385.0
2024-12-06,2350.0,2400.0,2245.0,2295.0,679215.0
2024-12-09,2225.0,2250.0,2145.0,2160.0,837569.0
2024-12-10,2135.0,2295.0,2135.0,2260.0,784428.0
2024-12-11,2255.0,2375.0,2245.0,2375.0,369302.0
