date,open,high,low,close,volume
2024-09-11,7890.0,8200.0,7700.0,7740.0,343201.0
2024-09-12,8090.0,8380.0,7950.0,8120.0,352365.0
2024-09-13,8560.0,9180.0,8120.0,8220.0,1392429.0
2024-09-19,8270.0,8500.0,8010.0,8360.0,282928.0
2024-09-20,8530.0,8560.0,8190.0,8210.0,328715.0
2024-09-23,8120.0,8270.0,7960.0,8150.0,170495.0
2024-09-24,8350.0,8430.0,8110.0,8150.0,200234.0
2024-09-25,8180.0,8850.0,8100.0,8230.0,710503.0
2024-09-26,8370.0,8900.0,8200.0,8790.0,746304.0
2024-09-27,8660.0,8710.0,8360.0,8640.0,315826.0
2024-09-30,9200.0,9290.0,8280.0,8300.0,941046.0
2024-10-02,8000.0,8310.0,8000.0,8120.0,150141.0
2024-10-04,8050.0,8160.0,8000.0,8000.0,152158.0
2024-10-07,8050.0,8150.0,8000.0,8040.0,111648.0
2024-10-08,8070.0,8070.0,7840.0,7840.0,158714.0
2024-10-10,7890.0,8450.0,7750.0,7970.0,404047.0
2024-10-11,7900.0,8040.0,7820.0,7820.0,142643.0
2024-10-14,7850.0,7930.0,7800.0,7800.0,81951.0
2024-10-15,7850.0,7890.0,7720.0,7820.0,109255.0
2024-10-16,7750.0,7870.0,7560.0,7560.0,127000.0
2024-10-17,7550.0,7650.0,7350.0,7350.0,111709.0
2024-10-18,7320.0,7480.0,7010.0,7010.0,172624.0
2024-10-21,7010.0,7090.0,6800.0,6910.0,106191.0
2024-10-22,6910.0,6930.0,6440.0,6440.0,256284.0
2024-10-23,6530.0,6540.0,6180.0,6410.0,198758.0
2024-10-24,6300.0,6310.0,6100.0,6140.0,142782.0
2024-10-25,6190.0,6500.0,6010.0,6300.0,271799.0
2024-10-28,6410.0,6730.0,6380.0,6540.0,194629.0
2024-10-29,6480.0,6700.0,6290.0,6450.0,95099.0
2024-10-30,6530.0,8150.0,6440.0,7710.0,10870234.0
2024-10-31,7900.0,8020.0,7160.0,7210.0,1687922.0
2024-11-01,7030.0,7690.0,6950.0,7320.0,1822914.0
2024-11-04,7370.0,7740.0,7280.0,7370.0,874205.0
2024-11-05,7300.0,7700.0,7160.0,7410.0,886915.0
2024-11-06,7500.0,7780.0,7050.0,7180.0,1339096.0
2024-11-07,7280.0,7350.0,6700.0,7180.0,444390.0
2024-11-08,6850.0,7270.0,6800.0,6960.0,456419.0
2024-11-11,6940.0,7000.0,6320.0,6340.0,352758.0
2024-11-12,6300.0,6390.0,5710.0,5780.0,469524.0
2024-11-13,5660.0,5890.0,5470.0,5510.0,258019.0
2024-11-14,5470.0,5850.0,5470.0,5600.0,288688.0
2024-11-15,5500.0,5760.0,5460.0,5760.0,224149.0
2024-11-18,5730.0,6040.0,5620.0,5880.0,220667.0
2024-11-19,6010.0,6130.0,5820.0,6080.0,195812.0
2024-11-20,6290.0,6290.0,5820.0,5840.0,245949.0
2024-11-21,5790.0,5940.0,5650.0,5660.0,132415.0
2024-11-22,5670.0,7350.0,5670.0,7350.0,7395045.0
2024-11-25,7640.0,9140.0,7380.0,8600.0,18823564.0
