date,open,high,low,close,volume
2024-09-11,233076.921875,243461.53125,232307.6875,235384.609375,742159.0
2024-09-12,237692.3125,245384.609375,236153.84375,243076.921875,817809.0
2024-09-13,246153.84375,250384.609375,243461.53125,245769.234375,532233.0
2024-09-19,248076.921875,269230.78125,247692.3125,269230.78125,2116996.0
2024-09-20,266923.0625,279615.375,266153.84375,279230.78125,1185704.0
2024-09-23,275769.21875,277307.6875,267692.3125,269230.78125,490258.0
2024-09-24,268461.53125,273461.53125,261153.84375,271538.46875,422953.0
2024-09-25,271153.84375,271153.84375,248461.53125,254230.765625,816416.0
2024-09-26,251923.078125,263076.9375,251538.46875,262307.6875,470843.0
2024-09-27,262307.6875,262692.3125,255000.0,255384.609375,242750.0
2024-09-30,256538.46875,259230.765625,250000.0,251538.46875,313248.0
2024-10-02,248846.15625,260769.234375,248846.15625,258461.53125,283211.0
2024-10-04,259615.390625,274230.78125,257307.6875,273846.15625,531536.0
2024-10-07,273846.15625,278461.53125,271538.46875,276538.46875,360241.0
2024-10-08,271538.46875,285384.625,270769.21875,283846.15625,540092.0
2024-10-10,281923.0625,292692.3125,279615.375,283846.15625,583105.0
2024-10-11,292307.6875,298846.15625,286923.0625,296923.0625,774602.0
2024-10-14,300000.0,300000.0,283461.53125,296923.0625,605606.0
2024-10-15,288461.53125,299615.375,287307.6875,297307.6875,465505.0
2024-10-16,294230.78125,300769.21875,292692.3125,296923.0625,342036.0
2024-10-17,296538.46875,298846.15625,288076.9375,295384.625,331701.0
2024-10-18,292692.3125,301153.84375,291923.0625,297307.6875,480708.0
2024-10-21,296538.46875,306923.0625,290384.625,305769.21875,592541.0
2024-10-22,307307.6875,309230.78125,292692.3125,295000.0,664894.0
2024-10-23,292307.6875,298076.9375,283076.9375,292692.3125,688391.0
2024-10-24,288461.53125,303461.53125,287307.6875,293846.15625,491043.0
2024-10-25,293461.53125,296153.84375,285384.625,287692.3125,385438.0
2024-10-28,288076.9375,301153.84375,286923.0625,291538.46875,551605.0
2024-10-29,293846.15625,301153.84375,288461.53125,296923.0625,555484.0
2024-10-30,296923.0625,298076.9375,290000.0,291538.46875,370864.0
2024-10-31,289615.375,294615.375,285384.625,289615.375,344363.0
2024-11-01,290000.0,294615.375,274230.78125,274230.78125,699866.0
2024-11-04,271538.46875,305384.625,266153.84375,299615.375,1607804.0
2024-11-05,300384.625,301923.0625,291153.84375,293076.9375,488520.0
2024-11-06,296153.84375,306923.0625,292307.6875,301153.84375,676374.0
2024-11-07,301153.84375,301923.0625,284615.375,301153.84375,742706.0
2024-11-08,298846.15625,341538.46875,295384.625,336153.84375,3698457.0
2024-11-11,344615.375,350384.625,336538.46875,342692.3125,1203077.0
2024-11-12,342692.3125,344230.78125,331538.46875,338076.9375,739623.0
2024-11-13,345000.0,347692.3125,315384.625,324230.78125,1384080.0
2024-11-14,326923.0625,348846.15625,324615.375,339615.375,1233143.0
2024-11-15,338846.15625,345384.625,331923.0625,336538.46875,572373.0
2024-11-18,324615.375,326538.46875,310000.0,313461.53125,1132201.0
2024-11-19,316153.84375,318846.15625,284615.375,289230.78125,1695995.0
2024-11-20,309230.78125,311153.84375,269615.375,269615.375,2239879.0
2024-11-21,264615.375,280384.625,214615.390625,266538.46875,6624052.0
2024-11-22,261538.46875,267692.3125,217307.6875,224615.390625,6038704.0
2024-11-25,238076.921875,257692.3125,233846.15625,254615.390625,3075320.0
2024-11-26,257692.3125,257692.3125,226538.46875,228461.53125,2286083.0
2024-11-27,230769.234375,239615.390625,222307.6875,235000.0,1532736.0
2024-11-28,240000.0,243461.53125,228076.921875,232692.3125,1109868.0
2024-11-29,233846.15625,235000.0,214615.390625,215384.609375,1683546.0
2024-12-02,218076.921875,235384.609375,218076.921875,232307.6875,1565691.0
2024-12-03,236538.46875,252692.3125,235000.0,250000.0,1491908.0
2024-12-04,248461.53125,253846.15625,238076.921875,244615.390625,1832105.0
2024-12-05,246923.078125,249615.390625,238076.921875,239230.765625,833262.0
2024-12-06,241538.46875,241923.078125,226923.078125,235384.609375,1411941.0
2024-12-09,226923.078125,231538.46875,215384.609375,219230.765625,1549783.0
2024-12-10,228076.921875,247307.6875,226153.84375,244615.390625,1625988.0
2024-12-11,244230.765625,244230.765625,235769.234375,236923.078125,839199.0
2024-12-12,238076.921875,248846.15625,235000.0,240384.609375,1564678.0
2024-12-13,242307.6875,246538.46875,236923.078125,243846.15625,763246.0
2024-12-16,249615.390625,250000.0,235769.234375,238846.15625,949343.0
2024-12-17,237692.3125,237692.3125,229615.390625,231923.078125,799748.0
2024-12-18,231538.46875,234615.390625,224615.390625,228461.53125,882828.0
2024-12-19,219615.390625,225000.0,216923.078125,220384.609375,947040.0
2024-12-20,220769.234375,223076.921875,210769.234375,213076.921875,1014847.0
2024-12-23,218461.53125,220769.234375,211923.078125,213076.921875,1018269.0
2024-12-24,215384.609375,230384.609375,211923.078125,227692.3125,2300807.0
2024-12-26,231538.46875,235000.0,226538.46875,231923.078125,1871040.0
2024-12-27,234615.390625,239615.390625,228461.53125,231538.46875,2249932.0
2024-12-30,228461.53125,244615.390625,228461.53125,238076.921875,1051856.0
2025-01-02,236923.078125,239230.765625,229615.390625,230769.234375,771356.0
2025-01-03,230769.234375,245769.234375,229230.765625,245000.0,961539.0
2025-01-06,242692.3125,245000.0,236153.84375,242692.3125,750595.0
2025-01-07,240384.609375,255769.234375,240384.609375,250769.234375,1032379.0
2025-01-08,247307.6875,248461.53125,237307.6875,238461.53125,851310.0
2025-01-09,240000.0,241923.078125,230384.609375,237692.3125,833462.0
2025-01-10,237692.3125,240000.0,233076.921875,238076.921875,435880.0
2025-01-13,233076.921875,237307.6875,229615.390625,230000.0,441563.0
2025-01-14,233461.53125,240000.0,232307.6875,236538.46875,317548.0
2025-01-15,241153.84375,241153.84375,232692.3125,233461.53125,258988.0
2025-01-16,239230.765625,242307.6875,237307.6875,240000.0,376278.0
2025-01-17,240000.0,240384.609375,234230.765625,236538.46875,255903.0
2025-01-20,238846.15625,247692.3125,236538.46875,245000.0,592508.0
2025-01-21,243461.53125,250769.234375,243076.921875,250000.0,528063.0
2025-01-22,253076.921875,266153.84375,251538.46875,263076.9375,987591.0
2025-01-23,265769.21875,270384.625,261923.078125,266923.0625,585488.0
2025-01-24,268076.9375,280000.0,264615.375,278461.53125,754349.0
2025-01-31,280000.0,288076.9375,275384.625,285769.21875,660026.0
2025-02-03,281153.84375,283461.53125,267692.3125,271153.84375,809706.0
2025-02-04,277692.3125,295769.21875,275384.625,287692.3125,1179434.0
2025-02-05,290769.21875,293461.53125,285384.625,289230.78125,933920.0
2025-02-06,294230.78125,303461.53125,291153.84375,301538.46875,874348.0
2025-02-07,299615.375,304230.78125,295769.21875,301153.84375,591600.0
2025-02-10,298461.53125,302692.3125,292692.3125,301538.46875,617604.0
2025-02-11,301538.46875,307692.3125,288461.53125,290769.21875,807721.0
2025-02-12,288846.15625,291923.0625,281538.46875,290384.625,632823.0
2025-02-13,290384.625,291538.46875,281538.46875,285000.0,672621.0
2025-02-14,288461.53125,304615.375,287692.3125,303076.9375,1025316.0
2025-02-17,306153.84375,310384.625,297692.3125,306538.46875,672198.0
2025-02-18,304230.78125,306923.0625,298846.15625,303846.15625,574886.0
2025-02-19,300000.0,301538.46875,290769.21875,297692.3125,567164.0
2025-02-20,293076.9375,304230.78125,288461.53125,290769.21875,784530.0
2025-02-21,289230.78125,302692.3125,289230.78125,301538.46875,574694.0
2025-02-24,298076.9375,301923.0625,293461.53125,294615.375,394481.0
2025-02-25,292307.6875,304615.375,288846.15625,302692.3125,541981.0
2025-02-26,305384.625,306153.84375,296153.84375,302692.3125,450037.0
2025-02-27,304230.78125,312307.6875,300384.625,308846.15625,663080.0
2025-02-28,305000.0,306153.84375,295769.21875,297692.3125,762112.0
2025-03-04,297692.3125,310000.0,296153.84375,307692.3125,597736.0
2025-03-05,312307.6875,321923.0625,309230.78125,318461.53125,651645.0
2025-03-06,312307.6875,314615.375,295384.625,300384.625,1299092.0
2025-03-07,297307.6875,303653.84375,277692.3125,283461.53125,1379506.0
2025-03-10,279230.78125,293461.53125,275384.625,286153.84375,645611.0
2025-03-11,277307.6875,286923.0625,277307.6875,284615.375,515668.0
2025-03-12,285000.0,292307.6875,272692.3125,277692.3125,653003.0
2025-03-13,280769.21875,298076.9375,280769.21875,288461.53125,1031674.0
2025-03-14,291538.46875,310000.0,286538.46875,301538.46875,1338598.0
2025-03-17,306538.46875,339038.46875,300384.625,338076.9375,2669319.0
2025-03-18,348846.15625,353461.53125,326153.84375,341153.84375,2624887.0
2025-03-19,338846.15625,343076.9375,319615.375,322307.6875,1311672.0
2025-03-20,325384.625,327307.6875,285384.625,286923.0625,3132361.0
2025-03-21,286153.84375,296153.84375,278846.15625,284615.375,1681895.0
2025-03-24,288846.15625,295769.21875,282307.6875,286538.46875,499404.0
2025-03-25,288846.15625,290384.625,277307.6875,278461.53125,469289.0
2025-03-26,278461.53125,281923.0625,268846.15625,278461.53125,599114.0
2025-03-27,276153.84375,280384.625,267692.3125,270769.21875,397779.0
2025-03-28,281153.84375,281153.84375,270000.0,271153.84375,489053.0
