date,open,high,low,close,volume
2024-09-11,22500.0,22950.0,22100.0,22250.0,297676.0
2024-09-12,23700.0,24900.0,23450.0,24400.0,1007529.0
2024-09-13,23950.0,25150.0,23950.0,24850.0,508040.0
2024-09-19,24650.0,24850.0,23500.0,24100.0,409229.0
2024-09-20,24750.0,25150.0,24550.0,24750.0,502501.0
2024-09-23,24350.0,25400.0,24300.0,24950.0,241765.0
2024-09-24,24950.0,25550.0,24800.0,25450.0,245381.0
2024-09-25,26100.0,26250.0,25600.0,25650.0,361402.0
2024-09-26,26600.0,27200.0,26300.0,26850.0,505999.0
2024-09-27,26900.0,27500.0,26750.0,27050.0,285328.0
2024-09-30,27100.0,27150.0,26400.0,26800.0,208084.0
2024-10-02,26200.0,27650.0,26150.0,27050.0,257859.0
2024-10-04,27300.0,27600.0,26950.0,27050.0,182785.0
2024-10-07,27100.0,27850.0,27000.0,27600.0,170575.0
2024-10-08,27350.0,27900.0,27100.0,27150.0,248539.0
2024-10-10,27500.0,27800.0,26850.0,27150.0,179154.0
2024-10-11,27400.0,27800.0,27150.0,27150.0,212594.0
2024-10-14,27050.0,27800.0,26900.0,27150.0,199785.0
2024-10-15,27950.0,28750.0,27350.0,28450.0,454258.0
2024-10-16,27700.0,28200.0,27100.0,27750.0,411077.0
2024-10-17,28050.0,28750.0,27850.0,28300.0,301230.0
2024-10-18,28800.0,28800.0,27400.0,27600.0,278788.0
2024-10-21,42341.94921875,42649.33203125,41650.3359375,42111.41015625,95382.0
2024-10-22,42034.56640625,42649.33203125,40881.87890625,41496.64453125,140341.0
2024-10-23,41419.80078125,43955.70703125,41189.26171875,43802.015625,298328.0
2024-10-24,43494.6328125,43571.4765625,41496.64453125,41573.4921875,192755.0
2024-10-25,41957.71875,42188.2578125,41035.5703125,41419.80078125,136696.0
2024-10-28,41419.80078125,41650.3359375,39806.04296875,41573.4921875,218364.0
2024-10-29,41419.80078125,47721.140625,40420.80859375,47721.140625,2868903.0
2024-10-30,30300.0,30550.0,29150.0,29850.0,2477667.0
2024-10-31,29450.0,31800.0,29450.0,31000.0,2964215.0
2024-11-01,30950.0,33350.0,30800.0,32700.0,3453955.0
2024-11-04,33300.0,34050.0,32000.0,32400.0,2106129.0
2024-11-05,32400.0,32900.0,31650.0,32150.0,888582.0
2024-11-06,32650.0,32700.0,30550.0,30750.0,796384.0
2024-11-07,30600.0,30950.0,29750.0,30750.0,603666.0
2024-11-08,30900.0,31350.0,30450.0,30700.0,544834.0
