date,open,high,low,close,volume
2024-09-11,16220.0,20450.0,16180.0,18900.0,10084299.0
2024-09-12,19560.0,20500.0,19100.0,19990.0,4785643.0
2024-09-13,19880.0,20150.0,19500.0,19610.0,836235.0
2024-09-19,19430.0,19950.0,18550.0,19720.0,1232582.0
2024-09-20,19900.0,19990.0,17920.0,18000.0,1215335.0
2024-09-23,17750.0,19750.0,17610.0,19000.0,1357395.0
2024-09-24,18900.0,19380.0,18620.0,19150.0,555531.0
2024-09-25,19450.0,19450.0,18690.0,18770.0,474233.0
2024-09-26,19240.0,21450.0,19160.0,20550.0,4050208.0
2024-09-27,20700.0,21900.0,20000.0,20400.0,2483761.0
2024-09-30,20150.0,21000.0,19700.0,20250.0,974087.0
2024-10-02,19500.0,21200.0,19350.0,20450.0,974574.0
2024-10-04,20900.0,20950.0,19960.0,20000.0,550995.0
2024-10-07,20250.0,21400.0,19990.0,21200.0,1003223.0
2024-10-08,20800.0,21350.0,20250.0,20600.0,564019.0
2024-10-10,21200.0,21200.0,20200.0,20250.0,541394.0
2024-10-11,20150.0,20700.0,19800.0,20000.0,577270.0
2024-10-14,20250.0,23850.0,20250.0,20000.0,7126396.0
2024-10-15,23650.0,23850.0,22800.0,23150.0,1935604.0
2024-10-16,22350.0,24100.0,22200.0,23950.0,2329543.0
2024-10-17,23850.0,24200.0,23100.0,23400.0,979714.0
2024-10-18,23650.0,24600.0,21650.0,21650.0,2048223.0
2024-10-21,21900.0,23300.0,20850.0,22450.0,1166291.0
2024-10-22,22200.0,22750.0,21450.0,21600.0,870146.0
2024-10-23,21500.0,23100.0,21000.0,22350.0,1236398.0
2024-10-24,22000.0,22150.0,21500.0,21850.0,427558.0
2024-10-25,21950.0,22500.0,20500.0,20500.0,815790.0
2024-10-28,20150.0,21800.0,20150.0,21800.0,609124.0
2024-10-29,22000.0,22150.0,20900.0,21150.0,405362.0
2024-10-30,21300.0,21600.0,20600.0,20700.0,333332.0
2024-10-31,20300.0,21150.0,20150.0,20550.0,402995.0
2024-11-01,20100.0,20700.0,19850.0,19970.0,424426.0
2024-11-04,20000.0,20900.0,19480.0,20700.0,444228.0
2024-11-05,20950.0,20950.0,20100.0,20950.0,383820.0
2024-11-06,21450.0,21450.0,19290.0,19650.0,773126.0
2024-11-07,19750.0,19750.0,18810.0,19650.0,425937.0
2024-11-08,19050.0,19950.0,19050.0,19120.0,384998.0
2024-11-11,19090.0,19190.0,17950.0,18100.0,539007.0
2024-11-12,17810.0,17850.0,16920.0,17210.0,612413.0
2024-11-13,17000.0,17270.0,16000.0,16010.0,627189.0
2024-11-14,16020.0,16410.0,15690.0,15900.0,450662.0
2024-11-15,15670.0,17750.0,15650.0,17350.0,716821.0
2024-11-18,17490.0,17490.0,16540.0,16600.0,378201.0
2024-11-19,16600.0,17200.0,16350.0,16540.0,222751.0
2024-11-20,16620.0,17120.0,16360.0,16620.0,253027.0
2024-11-21,16710.0,16720.0,16100.0,16150.0,229647.0
2024-11-22,16950.0,18640.0,16730.0,16870.0,2317943.0
2024-11-25,17100.0,17490.0,17070.0,17410.0,324438.0
2024-11-26,17500.0,17800.0,17190.0,17270.0,273017.0
2024-11-27,17430.0,17640.0,16800.0,16880.0,271869.0
2024-11-28,16880.0,17500.0,16700.0,17110.0,229306.0
2024-11-29,17100.0,17150.0,16010.0,16010.0,388053.0
2024-12-02,16010.0,16350.0,15780.0,15950.0,209901.0
2024-12-03,15810.0,16400.0,15810.0,16070.0,226318.0
2024-12-04,15450.0,15890.0,15020.0,15320.0,283795.0
2024-12-05,15570.0,15770.0,15110.0,15410.0,172388.0
2024-12-06,15780.0,16140.0,14210.0,14960.0,388654.0
2024-12-09,14410.0,14500.0,13600.0,13700.0,469525.0
2024-12-10,13700.0,14600.0,13700.0,14510.0,245556.0
2024-12-11,14970.0,15440.0,14600.0,15360.0,199572.0
2024-12-12,15520.0,15940.0,15270.0,15790.0,215740.0
2024-12-13,15810.0,16470.0,15500.0,16000.0,274051.0
2024-12-16,17960.0,19000.0,16990.0,17170.0,1504542.0
2024-12-17,18050.0,18500.0,17600.0,18100.0,1224415.0
2024-12-18,18750.0,21300.0,18510.0,20600.0,5049682.0
2024-12-19,19980.0,20950.0,19650.0,20150.0,1743332.0
2024-12-20,20350.0,21150.0,19060.0,19240.0,1609364.0
2024-12-23,19420.0,19890.0,19090.0,19510.0,608978.0
2024-12-24,20100.0,20400.0,18640.0,18700.0,850225.0
2024-12-26,18730.0,19420.0,18580.0,18730.0,555610.0
2024-12-27,18560.0,19130.0,17910.0,18330.0,453142.0
2024-12-30,18280.0,18400.0,17970.0,18250.0,271138.0
2025-01-02,18440.0,20350.0,18210.0,20200.0,826122.0
2025-01-03,20400.0,20700.0,19890.0,20450.0,747986.0
2025-01-06,20650.0,21200.0,20400.0,20850.0,908697.0
2025-01-07,23500.0,24600.0,21250.0,21250.0,4147588.0
2025-01-08,20800.0,24050.0,20800.0,22900.0,4686085.0
2025-01-09,24500.0,26800.0,24000.0,24700.0,11911834.0
2025-01-10,25950.0,26000.0,24250.0,24600.0,2298744.0
2025-01-13,24300.0,25650.0,24150.0,24400.0,1385678.0
2025-01-14,25750.0,27400.0,25550.0,26400.0,6674699.0
2025-01-15,26000.0,26950.0,25350.0,25850.0,2144086.0
2025-01-16,27850.0,28400.0,26450.0,26600.0,2782632.0
2025-01-17,26500.0,33400.0,26150.0,31050.0,16791418.0
2025-01-20,30700.0,31800.0,29800.0,30400.0,3192857.0
2025-01-21,30500.0,31300.0,30050.0,30800.0,2174277.0
2025-01-22,31650.0,31900.0,30400.0,31200.0,2161813.0
2025-01-23,30950.0,32450.0,29350.0,31850.0,4089246.0
2025-01-24,31250.0,32000.0,31000.0,31500.0,1502496.0
2025-01-31,29400.0,31850.0,29250.0,31250.0,1861122.0
2025-02-03,30400.0,30800.0,28000.0,28700.0,2015637.0
2025-02-04,29550.0,30200.0,27550.0,27850.0,1695604.0
2025-02-05,28100.0,31550.0,28100.0,30650.0,3657560.0
2025-02-06,31050.0,38950.0,30000.0,38300.0,7892154.0
2025-02-07,40900.0,44950.0,40700.0,44400.0,13406258.0
2025-02-10,43450.0,48350.0,42900.0,45900.0,8692632.0
2025-02-11,45950.0,50800.0,45000.0,47350.0,6513540.0
2025-02-12,46300.0,47600.0,43300.0,44300.0,3372642.0
2025-02-13,44900.0,45400.0,42400.0,44300.0,2982785.0
2025-02-14,43150.0,47900.0,43100.0,45500.0,3749954.0
2025-02-17,46300.0,50900.0,46200.0,47900.0,5823691.0
2025-02-18,47500.0,48900.0,46600.0,47550.0,2131275.0
2025-02-19,47900.0,53500.0,46100.0,53300.0,5471089.0
2025-02-20,51800.0,51900.0,45400.0,45400.0,4626004.0
2025-02-21,45000.0,47450.0,44300.0,44650.0,2997018.0
2025-02-24,43300.0,44000.0,41800.0,43400.0,2085829.0
2025-02-25,43600.0,45500.0,42200.0,42350.0,2624052.0
2025-02-26,42350.0,43250.0,42000.0,42500.0,1200452.0
2025-02-27,43000.0,43100.0,39350.0,39500.0,2527060.0
2025-02-28,40150.0,40550.0,37500.0,38000.0,2154497.0
2025-03-04,37200.0,38850.0,36550.0,38450.0,1257506.0
2025-03-05,38950.0,40000.0,38000.0,39500.0,1763176.0
2025-03-06,40300.0,41000.0,37500.0,39900.0,2786434.0
2025-03-07,40750.0,42650.0,38600.0,38950.0,3516265.0
2025-03-10,39150.0,42400.0,39000.0,40850.0,2195094.0
2025-03-11,38700.0,45850.0,38550.0,45000.0,5091522.0
2025-03-12,44700.0,45850.0,43450.0,45250.0,2780891.0
2025-03-13,45550.0,48300.0,44000.0,44000.0,4432513.0
2025-03-14,44000.0,45600.0,42550.0,44150.0,1560538.0
2025-03-17,44750.0,46350.0,44300.0,44500.0,1474415.0
2025-03-18,44800.0,45050.0,43150.0,43650.0,915435.0
2025-03-19,42750.0,43650.0,40400.0,40600.0,1584658.0
2025-03-20,41050.0,41400.0,39700.0,39900.0,869170.0
2025-03-21,39100.0,40325.0,39000.0,39450.0,795893.0
2025-03-24,39000.0,41300.0,38900.0,40550.0,845826.0
2025-03-25,40600.0,40800.0,36600.0,36800.0,1548481.0
2025-03-26,36800.0,38150.0,36500.0,37500.0,864432.0
2025-03-27,36700.0,37500.0,35800.0,36250.0,808025.0
2025-03-28,36300.0,36450.0,34450.0,34550.0,724633.0
2025-03-31,33500.0,34400.0,32850.0,33300.0,630756.0
2025-04-01,33850.0,34200.0,32250.0,33050.0,666103.0
2025-04-02,33700.0,33750.0,32050.0,32600.0,505300.0
2025-04-03,31350.0,32800.0,31200.0,32250.0,360154.0
2025-04-04,31700.0,33000.0,30700.0,31950.0,470809.0
2025-04-07,30400.0,30450.0,28650.0,28700.0,516930.0
2025-04-08,29600.0,29900.0,27850.0,28500.0,513522.0
